Date,Open,High,Low,Close,Adj Close,Volume
2020-07-20,21.799999,22.020000,21.010000,21.620001,21.620001,5315500
2020-07-21,21.900000,22.940001,21.709999,22.650000,22.650000,8177800
2020-07-22,22.570000,22.590000,21.799999,21.900000,21.900000,4969000
2020-07-23,21.990000,22.299999,20.910000,21.100000,21.100000,4519500
2020-07-24,20.940001,20.940001,19.950001,20.639999,20.639999,4612900
2020-07-27,20.650000,21.480000,20.250000,21.010000,21.010000,4508800
2020-07-28,20.840000,21.500000,20.530001,21.490000,21.490000,3890900
2020-07-29,21.400000,21.990000,20.950001,21.440001,21.440001,3804900
2020-07-30,21.299999,21.790001,20.820000,21.500000,21.500000,3450800
2020-07-31,21.379999,21.900000,20.469999,20.799999,20.799999,3306700
2020-08-03,20.799999,20.850000,19.730000,20.000000,20.000000,4292400
2020-08-04,19.770000,19.950001,18.920000,18.920000,18.920000,4549400
2020-08-05,19.139999,19.959999,19.020000,19.850000,19.850000,4314600
2020-08-06,19.900000,20.090000,19.360001,19.590000,19.590000,3025100
2020-08-07,19.459999,20.080000,18.920000,19.010000,19.010000,3204500
2020-08-10,19.059999,19.299999,18.700001,19.100000,19.100000,4237200
2020-08-11,19.340000,20.740000,19.250000,20.350000,20.350000,6451300
2020-08-12,20.459999,20.850000,19.320000,19.719999,19.719999,5153000
2020-08-13,19.700001,19.920000,18.920000,18.930000,18.930000,3275700
2020-08-14,18.980000,19.660000,18.500000,19.440001,19.440001,3214800
2020-08-17,19.490000,19.650000,18.690001,18.870001,18.870001,3032000
2020-08-18,19.299999,19.490000,18.889999,19.340000,19.340000,2865100
2020-08-19,19.340000,19.600000,18.830000,18.940001,18.940001,2400000
2020-08-20,18.600000,19.370001,18.219999,19.170000,19.170000,2282800
2020-08-21,19.180000,20.100000,19.010000,19.969999,19.969999,3108400
2020-08-24,20.090000,20.480000,19.900000,20.090000,20.090000,2626800
2020-08-25,20.150000,20.240000,19.650000,19.650000,19.650000,2436500
2020-08-26,19.719999,19.879999,18.620001,18.870001,18.870001,2837300
2020-08-27,18.900000,19.299999,18.700001,19.090000,19.090000,2000900
2020-08-28,19.139999,19.540001,18.840000,19.160000,19.160000,3034000
2020-08-31,19.059999,19.059999,18.200001,18.299999,18.299999,4222000
2020-09-01,18.440001,19.070000,18.400000,18.700001,18.700001,3711800
2020-09-02,18.770000,18.940001,18.370001,18.500000,18.500000,3006500
2020-09-03,18.700001,18.990000,17.940001,18.100000,18.100000,5802900
2020-09-04,18.150000,18.350000,17.490000,18.070000,18.070000,6262800
2020-09-08,18.040001,19.000000,17.680000,18.000000,18.000000,7380700
2020-09-09,18.160000,18.379999,17.549999,17.709999,17.709999,4614900
2020-09-10,17.709999,18.049999,17.040001,17.059999,17.059999,5643800
2020-09-11,17.299999,17.379999,16.530001,16.879999,16.879999,3517900
2020-09-14,17.190001,17.790001,17.049999,17.639999,17.639999,5707900
2020-09-15,17.790001,18.330000,17.389999,17.480000,17.480000,4776900
2020-09-16,17.540001,18.400000,17.490000,18.200001,18.200001,6808300
2020-09-17,18.000000,18.410000,17.700001,17.799999,17.799999,5805200
2020-09-18,17.760000,17.780001,17.080000,17.280001,17.280001,6618500
2020-09-21,16.780001,16.799999,16.250000,16.520000,16.520000,4377500
2020-09-22,16.520000,16.840000,16.030001,16.200001,16.200001,3993500
2020-09-23,16.299999,16.879999,16.219999,16.360001,16.360001,4775100
2020-09-24,16.809999,17.590000,16.650000,17.120001,17.120001,8036600
2020-09-25,17.000000,17.180000,16.709999,16.750000,16.750000,3078500
2020-09-28,16.990000,17.410000,16.219999,16.250000,16.250000,4555800
2020-09-29,16.350000,16.490000,15.520000,15.620000,15.620000,4908300
2020-09-30,15.720000,16.430000,15.640000,16.129999,16.129999,4330300
2020-10-01,15.900000,16.299999,15.320000,15.710000,15.710000,9571400
2020-10-02,15.490000,15.760000,14.790000,14.880000,14.880000,7118800
2020-10-05,14.860000,15.090000,14.370000,14.460000,14.460000,6357000
2020-10-06,14.500000,16.150000,14.480000,15.810000,15.810000,14375900
2020-10-07,15.960000,16.170000,14.570000,14.900000,14.900000,11419900
2020-10-08,15.090000,15.230000,14.810000,14.940000,14.940000,5247100
2020-10-09,14.970000,16.129999,14.820000,15.570000,15.570000,8912500
2020-10-13,15.570000,15.720000,15.200000,15.590000,15.590000,4525500
2020-10-14,15.640000,16.010000,15.360000,15.410000,15.410000,3071700
